1,1536,0.568,-0.022,1.030
1,1542,0.571,-0.022,1.030
1,1549,0.573,-0.023,1.029
1,155,0.048,-0.024,1.026
1,1556,0.576,-0.023,1.029
1,1562,0.578,-0.023,1.028
1,1571,0.580,-0.024,1.028
1,1579,0.583,-0.024,1.027
1,1588,0.586,-0.024,1.027
1,1594,0.589,-0.025,1.027
1,1601,0.591,-0.025,1.026
1,1608,0.594,-0.025,1.026
1,161,0.051,-0.023,1.027
1,1614,0.596,-0.025,1.026
1,1621,0.598,-0.025,1.025
1,1628,0.601,-0.025,1.025
1,1634,0.603,-0.025,1.025
1,1641,0.605,-0.026,1.025
1,1648,0.607,-0.026,1.025
1,1654,0.610,-0.026,1.024
1,1661,0.612,-0.026,1.024
1,1668,0.614,-0.026,1.024
1,1674,0.616,-0.026,1.024
1,168,0.053,-0.023,1.027
1,1681,0.618,-0.026,1.024
1,1688,0.621,-0.026,1.024
1,1694,0.002,-0.026,1.024
1,1701,0.004,-0.026,1.024
1,1708,0.006,-0.026,1.024
1,175,0.055,-0.023,1.027
1,181,0.057,-0.023,1.028
1,188,0.059,-0.022,1.028
1,195,0.062,-0.022,1.028
1,201,0.064,-0.022,1.029
1,208,0.066,-0.022,1.029
1,215,0.069,-0.021,1.030
1,221,0.071,-0.021,1.030
1,228,0.073,-0.021,1.031
1,23,0.005,-0.026,1.024
1,235,0.076,-0.020,1.031
1,241,0.078,-0.020,1.032
1,248,0.080,-0.020,1.032
1,255,0.083,-0.019,1.033
1,261,0.085,-0.019,1.033
1,268,0.087,-0.018,1.034
1,275,0.090,-0.018,1.034
1,281,0.092,-0.018,1.035
1,288,0.095,-0.017,1.035
1,295,0.097,-0.017,1.036
1,301,0.100,-0.016,1.037
1,308,0.102,-0.016,1.037
1,31,0.007,-0.026,1.024
1,315,0.105,-0.015,1.038
1,321,0.107,-0.015,1.039
1,328,0.109,-0.014,1.039
1,335,0.112,-0.014,1.040
1,341,0.115,-0.013,1.040
1,348,0.117,-0.013,1.041
1,355,0.120,-0.012,1.042
1,361,0.122,-0.011,1.042
1,368,0.125,-0.011,1.043
1,375,0.127,-0.010,1.043
1,382,0.130,-0.010,1.044
1,388,0.133,-0.009,1.044
1,395,0.135,-0.008,1.045
1,40,0.010,-0.026,1.024
1,402,0.138,-0.008,1.045
1,408,0.141,-0.007,1.046
1,415,0.143,-0.006,1.046
1,422,0.146,-0.006,1.046
1,428,0.149,-0.005,1.047
1,435,0.151,-0.004,1.047
1,442,0.154,-0.004,1.047
1,448,0.157,-0.003,1.048
1,455,0.159,-0.002,1.048
1,462,0.162,-0.001,1.048
1,468,0.165,-0.000,1.048
1,475,0.167,0.000,1.048
1,48,0.013,-0.026,1.024
1,482,0.170,0.001,1.048
1,488,0.173,0.002,1.048
1,495,0.176,0.003,1.048
1,502,0.179,0.004,1.047
1,508,0.182,0.004,1.047
1,515,0.184,0.005,1.047
1,522,0.187,0.006,1.047
1,528,0.190,0.007,1.046
1,535,0.193,0.007,1.046
1,542,0.196,0.008,1.045
1,548,0.199,0.009,1.045
1,55,0.016,-0.026,1.024
1,555,0.202,0.010,1.044
1,562,0.205,0.010,1.044
1,568,0.208,0.011,1.043
1,575,0.210,0.012,1.043
1,582,0.213,0.013,1.042
1,588,0.216,0.013,1.042
1,595,0.218,0.014,1.041
1,602,0.221,0.015,1.041
1,608,0.224,0.015,1.040
1,61,0.018,-0.026,1.024
1,615,0.226,0.016,1.040
1,622,0.229,0.017,1.039
1,628,0.232,0.017,1.039
1,635,0.234,0.018,1.038
1,642,0.237,0.018,1.038
1,648,0.240,0.019,1.037
1,655,0.242,0.020,1.037
1,662,0.244,0.020,1.036
1,668,0.247,0.021,1.036
1,675,0.249,0.021,1.035
1,68,0.020,-0.026,1.024
1,682,0.252,0.022,1.035
1,688,0.255,0.022,1.035
1,695,0.257,0.022,1.034
1,702,0.259,0.023,1.034
1,708,0.262,0.023,1.033
1,715,0.264,0.023,1.033
1,722,0.267,0.024,1.033
1,728,0.269,0.024,1.032
1,735,0.271,0.024,1.032
1,742,0.274,0.025,1.032
1,748,0.276,0.025,1.031
1,75,0.022,-0.026,1.024
1,755,0.278,0.025,1.031
1,762,0.281,0.025,1.031
1,768,0.283,0.026,1.031
1,775,0.285,0.026,1.031
1,782,0.288,0.026,1.030
1,789,0.290,0.026,1.030
1,795,0.292,0.026,1.030
1,802,0.294,0.026,1.030
1,809,0.297,0.026,1.030
1,81,0.024,-0.025,1.024
1,815,0.299,0.026,1.030
1,822,0.301,0.026,1.030
1,829,0.303,0.026,1.030
1,835,0.306,0.026,1.029
1,842,0.308,0.027,1.029
1,849,0.310,0.026,1.029
1,855,0.312,0.026,1.029
1,862,0.314,0.026,1.029
1,869,0.317,0.026,1.029
1,875,0.319,0.026,1.029
1,88,0.026,-0.025,1.024
1,882,0.321,0.026,1.030
1,889,0.323,0.026,1.030
1,895,0.326,0.026,1.030
1,902,0.328,0.026,1.030
1,909,0.330,0.026,1.030
1,915,0.332,0.026,1.030
1,922,0.334,0.026,1.030
1,929,0.337,0.026,1.030
1,935,0.339,0.025,1.030
1,942,0.341,0.025,1.031
1,949,0.343,0.025,1.031
1,95,0.029,-0.025,1.024
1,955,0.346,0.025,1.031
1,962,0.348,0.025,1.031
1,969,0.350,0.024,1.032
1,975,0.352,0.024,1.032
1,982,0.354,0.024,1.032
1,989,0.357,0.024,1.032
1,995,0.359,0.024,1.033
24,1002,0.022,-0.034,0.368
24,1009,0.028,-0.034,0.367
24,101,-0.283,-0.130,0.299
24,1015,0.034,-0.034,0.366
24,1022,0.040,-0.034,0.364
24,1029,0.046,-0.034,0.363
24,1035,0.052,-0.035,0.361
24,1,-0.359,-0.116,0.284
24,1042,0.058,-0.035,0.359
24,1049,0.065,-0.036,0.357
24,1055,0.071,-0.037,0.355
24,1062,0.077,-0.037,0.354
24,1069,0.084,-0.038,0.352
24,1075,0.090,-0.039,0.349
24,108,-0.282,-0.130,0.300
24,1082,0.096,-0.040,0.347
24,1089,0.103,-0.041,0.345
24,1095,0.110,-0.042,0.343
24,1102,0.116,-0.043,0.341
24,1109,0.122,-0.045,0.339
24,1115,0.129,-0.046,0.336
24,1122,0.135,-0.047,0.334
24,1129,0.142,-0.049,0.332
24,1135,0.149,-0.050,0.329
24,1142,0.155,-0.052,0.327
